,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,yr_built,yr_renovated,zipcode,house_age,city_rank
97,2014,314000,3,1.75,1810,41800,1.0,0,0,5,7,1980,0,98038,34,20.0
98,2014,437500,3,2.5,2320,36847,2.0,0,2,3,9,1992,0,98045,22,16.0
99,2014,850830,3,2.5,2070,13241,1.5,0,0,5,9,1910,0,98102,104,10.0
100,2014,555000,3,2.0,1980,3478,1.5,0,0,4,7,1929,0,98117,85,10.0
101,2014,699950,3,2.25,2190,107593,2.0,0,0,4,8,1983,0,98077,31,7.0
102,2014,1090000,3,2.5,2920,8113,2.0,0,0,3,8,1950,2010,98004,64,3.0
103,2014,290000,3,1.0,1210,33919,1.0,0,0,3,7,1954,0,98058,60,19.0
104,2015,375000,3,2.5,2340,10005,1.0,0,0,4,8,1978,0,98058,37,19.0
105,2014,460000,3,1.0,1670,4005,1.5,0,0,4,7,1939,0,98117,75,10.0
106,2014,188500,2,1.75,1240,2493,1.0,0,0,4,8,1985,0,98198,29,10.0
107,2015,680000,4,2.5,3140,28037,2.0,0,0,4,10,1991,0,98077,24,7.0
108,2014,470000,5,1.75,2030,12342,2.0,0,0,4,7,1942,0,98052,72,5.0
109,2014,597750,4,2.5,2310,9624,2.0,0,0,3,8,1984,0,98027,30,8.0
110,2015,570000,3,1.75,1260,3328,1.0,0,0,5,6,1905,0,98103,110,10.0
111,2014,272500,3,1.75,1540,12600,1.0,0,0,4,7,1980,0,98038,34,20.0
112,2014,329950,3,1.75,2080,5969,1.0,0,2,3,7,1971,0,98108,43,10.0
113,2014,480000,4,2.5,3230,16171,2.0,0,3,3,9,2001,0,98001,13,23.0
114,2014,740500,3,3.5,4380,6350,2.0,0,0,3,8,1900,1999,98117,114,10.0
115,2014,518500,3,3.5,1590,1102,3.0,0,0,3,8,2010,0,98103,4,10.0
116,2014,205425,2,1.0,880,6780,1.0,0,0,4,6,1945,0,98178,69,10.0
117,2015,171800,4,2.0,1570,9600,1.0,0,0,3,6,1950,0,98168,65,10.0
118,2015,535000,4,1.0,1610,2982,1.5,0,0,4,7,1925,0,98144,90,10.0
119,2015,660000,3,2.5,2400,6474,1.0,0,2,3,8,1964,0,98177,51,10.0
120,2014,391500,3,2.0,1450,9132,1.0,0,0,3,7,1987,0,98034,27,6.0
121,2015,395000,2,1.0,770,6000,1.0,0,0,3,6,1953,0,98117,62,10.0
122,2014,445000,4,1.75,2100,4400,1.5,0,0,5,7,1924,0,98118,90,10.0
123,2014,770000,3,2.25,2910,10204,2.0,0,0,3,9,1990,0,98052,24,5.0
124,2015,1450000,4,2.75,2750,17789,1.5,0,0,3,8,1914,1992,98004,101,3.0
125,2014,445000,3,2.25,2100,8201,1.0,0,2,3,8,1967,0,98178,47,10.0
126,2014,260000,4,2.25,2160,8811,1.0,0,0,3,8,1978,0,98023,36,24.0
127,2014,822500,5,3.5,2320,4960,2.0,0,0,5,7,1926,0,98103,88,10.0
128,2015,430000,4,2.5,2070,4310,2.0,0,0,3,7,2004,0,98065,11,11.0
129,2015,212000,3,1.75,1060,7875,1.0,0,0,4,7,1986,0,98092,29,23.0
130,2015,660500,4,2.25,2010,9603,1.0,0,0,3,8,1986,0,98027,29,8.0
131,2014,784000,3,3.5,3950,111078,1.5,0,0,3,9,1989,0,98052,25,5.0
132,2014,453246,3,2.5,2010,2287,2.0,0,0,3,8,2014,0,98029,0,8.0
133,2015,675000,4,3.5,2140,2278,3.0,0,0,3,9,2005,0,98107,10,10.0
134,2014,199000,3,1.75,1320,17390,1.0,0,0,4,7,1956,0,98003,58,24.0
135,2014,220000,4,1.75,2020,7840,1.0,0,0,3,7,1968,0,98003,46,24.0
136,2014,452000,4,2.25,2590,10002,1.0,0,0,4,8,1968,0,98028,46,14.0
137,2014,382500,2,1.0,1190,4440,1.0,0,0,3,6,1981,0,98125,33,10.0
138,2014,519950,3,2.25,1170,1249,3.0,0,0,3,8,2014,0,98107,0,10.0
139,2014,665000,2,1.0,1110,3200,1.0,0,0,3,7,1925,0,98119,89,10.0
140,2014,527700,5,2.5,2820,9375,1.0,0,0,4,8,1968,0,98006,46,3.0
141,2015,205000,3,1.0,1610,8579,1.0,0,0,4,7,1962,0,98058,53,19.0
142,2015,420000,3,1.0,1060,8097,1.0,0,0,4,7,1923,0,98133,92,10.0
143,2015,500000,4,2.25,2030,8517,1.0,0,0,4,8,1961,0,98006,54,3.0
144,2014,921500,4,2.5,3670,315374,2.0,0,0,4,9,1994,0,98077,20,7.0
145,2014,890000,4,1.0,2550,4000,2.0,0,0,3,8,1905,0,98109,109,10.0
146,2014,430000,2,2.5,2420,60984,2.0,0,0,3,7,2007,0,98027,7,8.0
147,2014,258000,5,2.0,2260,12500,1.0,0,0,4,8,1960,0,98032,54,22.0
148,2014,511000,3,1.0,1430,3455,1.0,0,0,3,7,1947,0,98103,67,10.0
149,2014,532170,3,2.0,1360,3090,2.0,0,0,3,8,1990,0,98103,24,10.0
150,2015,560000,3,1.0,1110,5000,1.5,0,0,3,7,1947,0,98107,68,10.0
151,2015,282950,3,1.0,1250,8200,1.0,0,0,4,7,1954,0,98003,61,24.0
152,2015,2250000,4,3.25,5180,19850,2.0,0,3,3,12,2006,0,98006,9,3.0
153,2014,350000,1,1.0,700,5100,1.0,0,0,3,7,1942,0,98115,72,10.0
154,2014,215000,3,1.0,1180,7669,1.0,0,0,4,7,1967,0,98058,47,19.0
155,2014,650000,5,3.5,3960,25245,2.0,0,0,3,9,1996,0,98056,18,19.0
156,2014,320000,4,2.75,2640,7500,1.0,0,0,3,8,1967,0,98023,47,24.0
157,2014,247000,3,2.0,1270,7198,1.5,0,0,3,7,1916,2013,98022,98,21.0
158,2014,320000,4,1.75,1760,11180,1.0,0,0,4,8,1968,0,98059,46,19.0
159,2014,255000,5,2.25,2060,8632,1.0,0,0,3,7,1962,0,98146,52,10.0
160,2015,438000,3,1.75,1780,9660,1.0,0,0,3,7,1962,0,98034,53,6.0
161,2015,900000,3,2.5,3400,16603,2.0,0,0,3,10,2000,0,98075,15,4.0
162,2014,441000,3,2.75,1910,7280,1.0,0,0,3,7,1979,0,98034,35,6.0
163,2014,420000,3,2.0,2020,38332,1.0,0,0,4,7,1975,0,98027,39,8.0
164,2014,370000,3,1.75,1580,7000,1.0,0,0,3,7,1976,0,98034,38,6.0
165,2015,269950,2,1.75,1340,7250,1.0,0,0,5,5,1949,0,98198,66,10.0
166,2015,807100,4,2.5,2680,4499,2.0,0,0,3,9,1999,0,98006,16,3.0
167,2014,653000,3,2.5,2680,9750,1.0,0,0,4,8,1979,0,98034,35,6.0
168,2014,371500,3,2.0,1370,8336,1.0,0,0,5,7,1964,0,98133,50,10.0
169,2015,284000,3,1.75,1560,21000,1.0,0,0,3,7,1954,0,98166,61,10.0
170,2015,272000,3,1.75,2160,7140,1.0,0,0,4,7,1978,0,98023,37,24.0
171,2014,313000,3,1.5,1340,7912,1.5,0,0,3,7,1955,0,98133,59,10.0
172,2015,917500,4,2.5,3880,35003,2.0,0,0,3,10,1984,0,98033,31,6.0
173,2014,673000,4,2.25,2590,8190,2.0,0,0,4,8,1980,0,98006,34,3.0
174,2015,425000,3,2.5,1120,1100,2.0,0,0,3,8,2008,0,98122,7,10.0
175,2014,399950,5,2.75,1970,5400,1.0,0,0,3,7,1986,0,98144,28,10.0
176,2014,385000,3,1.0,1220,4800,1.0,0,0,3,6,1901,0,98122,113,10.0
177,2014,269950,3,1.5,1950,7560,1.0,0,2,4,7,1975,0,98022,39,21.0
178,2015,330000,2,1.0,1350,8220,1.0,0,0,3,7,1949,0,98177,66,10.0
179,2014,260000,3,2.5,1670,5797,2.0,0,0,3,7,1988,0,98030,26,22.0
180,2015,470000,4,3.0,2380,5125,1.5,0,0,4,7,1925,0,98126,90,10.0
181,2014,589000,4,3.0,2440,9600,2.0,0,0,5,7,1961,0,98034,53,6.0
182,2014,163500,2,1.5,1050,3419,2.0,0,0,3,7,1996,0,98038,18,20.0
183,2014,835000,4,2.75,3130,13412,2.0,0,0,3,9,1993,0,98052,21,5.0
184,2014,1100000,5,3.0,4090,12850,1.0,0,2,4,10,1986,0,98033,28,6.0
185,2015,269000,4,1.75,1490,10000,1.0,0,0,4,8,1969,0,98023,46,24.0
186,2014,560000,3,2.5,1900,8744,2.0,0,0,3,8,1987,0,98074,27,4.0
187,2015,615000,4,1.0,1330,2400,1.5,0,0,4,6,1901,0,98103,114,10.0
188,2014,585188,3,2.25,2230,10026,1.0,0,0,3,8,1975,0,98052,39,5.0
189,2014,305000,3,1.75,1650,9480,1.0,0,0,3,7,1977,0,98034,37,6.0
190,2014,166950,3,1.0,1190,8820,1.0,0,0,3,6,1959,0,98058,55,19.0
191,2014,799000,3,2.5,2140,9897,1.0,0,0,4,8,1959,0,98040,55,2.0
192,2014,400000,3,2.5,2180,7508,1.0,0,0,4,7,1962,0,98133,52,10.0
193,2014,230000,3,1.0,1060,10228,1.0,0,0,3,7,1948,0,98155,66,10.0
194,2014,256883,3,2.5,1690,5025,2.0,0,0,3,8,2003,0,98023,11,24.0
195,2014,423000,4,2.0,1970,6480,1.5,0,0,5,7,1920,0,98108,94,10.0
196,2014,465000,3,2.5,2150,4084,2.0,0,0,3,8,2007,0,98126,7,10.0
197,2015,440000,3,2.5,1910,66211,2.0,0,0,3,7,1997,0,98024,18,9.0
198,2014,385000,3,1.75,1350,155073,1.0,0,0,4,7,1969,0,98038,45,20.0
199,2015,210000,3,1.0,860,11725,1.0,0,0,4,6,1943,0,98056,72,19.0
200,2014,297000,3,2.5,1940,14952,2.0,0,0,3,8,1994,0,98042,20,22.0
201,2014,470000,3,1.0,1010,5000,1.0,0,0,3,7,1952,0,98107,62,10.0
202,2014,226500,3,1.5,1300,7370,1.0,0,0,4,7,1976,0,98023,38,24.0
203,2015,274250,3,1.0,910,8450,1.0,0,0,4,6,1962,0,98059,53,19.0
204,2014,840000,4,1.75,2480,11010,1.0,0,0,4,9,1966,0,98040,48,2.0
205,2014,677900,3,2.5,2440,4587,2.0,0,0,3,8,2010,0,98052,4,5.0
206,2015,425000,3,1.0,1010,5864,1.0,0,0,3,7,1915,0,98116,100,10.0
207,2014,180250,2,0.75,900,9600,1.0,0,0,3,6,1941,0,98166,73,10.0
208,2014,464000,6,3.0,2300,3404,2.0,0,0,3,7,1920,1994,98133,94,10.0
209,2015,320000,4,2.25,1550,7579,2.0,0,0,3,8,1993,0,98038,22,20.0
210,2014,625504,3,2.25,1270,1566,2.0,0,0,3,8,2014,0,98105,0,10.0
211,2014,592500,4,2.5,2240,12032,1.0,0,0,3,9,1983,0,98074,31,4.0
212,2015,465000,3,2.5,2714,17936,2.0,0,0,3,9,2005,0,98001,10,23.0
213,2014,477000,4,2.75,1720,6270,2.0,0,0,3,8,1978,0,98118,36,10.0
214,2015,280000,2,1.0,850,16400,1.0,0,0,3,6,1923,0,98168,92,10.0
215,2015,1510000,5,3.0,3300,33474,1.0,0,3,3,9,1957,1991,98040,58,2.0
216,2014,445838,3,2.5,2250,5692,2.0,0,0,3,8,2000,0,98146,14,10.0
217,2014,1070000,2,2.25,3900,14864,1.0,0,3,3,8,1947,0,98144,67,10.0
218,2014,467000,2,1.5,1320,10800,1.0,0,0,4,8,1947,0,98177,67,10.0
219,2014,686000,4,2.5,2760,6440,2.0,0,0,3,10,1999,0,98075,15,4.0
220,2014,279950,3,2.0,1750,9750,1.0,0,0,3,7,1961,0,98198,53,10.0
221,2014,527000,4,2.25,2330,19436,2.0,0,0,3,8,1987,0,98011,27,12.0
222,2014,325000,3,2.25,2220,16020,1.0,0,0,4,8,1966,0,98030,48,22.0
223,2014,328000,3,2.25,2020,8379,2.0,0,0,3,7,1994,0,98038,20,20.0
224,2014,390000,3,2.25,1250,7500,1.0,0,0,5,7,1942,0,98146,72,10.0
225,2015,479950,2,2.0,1510,6516,1.0,0,0,3,8,2005,0,98053,10,5.0
226,2014,264950,4,2.25,1720,9753,1.0,0,0,4,7,1978,0,98023,36,24.0
227,2015,235000,3,1.0,1430,15246,1.0,0,0,4,7,1961,0,98031,54,22.0
228,2015,516500,3,2.5,1480,4729,2.0,0,0,3,7,2004,0,98053,11,5.0
229,2015,655000,2,1.75,1450,15798,2.0,1,4,3,7,1915,1978,98166,100,10.0
230,2014,500000,4,2.75,2280,15347,1.0,0,0,5,7,1960,0,98059,54,19.0
231,2014,315000,6,2.75,2940,7350,1.0,0,0,3,8,1978,0,98023,36,24.0
232,2014,213000,2,1.0,1000,10200,1.0,0,0,3,6,1961,0,98024,53,9.0
233,2014,475000,3,1.5,2480,5280,1.5,0,0,5,7,1947,0,98108,67,10.0
234,2014,1030000,5,4.0,3760,28040,2.0,0,0,3,10,1983,0,98033,31,6.0
235,2015,416000,3,2.0,2220,94300,1.0,0,0,5,7,1976,0,98010,39,18.0
236,2015,410000,4,1.0,1970,4740,1.5,0,0,3,7,1904,2005,98122,111,10.0
237,2014,800000,3,3.5,3830,221284,2.0,0,0,3,10,1993,0,98077,21,7.0
238,2014,472000,6,2.5,4410,14034,1.0,0,2,4,9,1965,0,98003,49,24.0
239,2014,225000,3,1.75,1430,8505,1.0,0,0,4,7,1968,0,98003,46,24.0
240,2014,210000,2,1.0,830,6000,1.0,0,0,3,6,1940,0,98126,74,10.0
241,2015,455000,2,1.0,1430,5000,1.5,0,0,2,7,1925,0,98115,90,10.0
242,2015,225000,3,1.0,1300,8316,1.0,0,0,4,6,1954,0,98002,61,23.0
243,2014,480000,2,1.0,1030,3060,1.0,0,2,4,7,1918,0,98103,96,10.0
244,2015,363000,3,2.5,2740,11872,2.0,0,0,3,9,1990,0,98023,25,24.0
245,2014,2400000,4,2.5,3650,8354,1.0,1,4,3,9,2000,0,98074,14,4.0
246,2015,181000,2,1.5,720,5120,1.0,0,0,3,6,1954,0,98106,61,10.0
247,2015,250000,4,2.0,2010,7312,1.0,0,0,4,7,1976,0,98002,39,23.0
248,2015,481000,3,1.75,1560,3000,1.0,0,0,4,6,1918,0,98103,97,10.0
249,2014,260000,3,2.0,1810,7209,1.0,0,0,4,7,1978,0,98032,36,22.0
250,2014,455000,4,2.5,3360,7685,2.0,0,0,3,9,2001,0,98058,13,19.0
251,2015,415000,3,2.25,1510,36224,2.0,0,0,3,8,1991,0,98045,24,16.0
252,2015,349500,3,1.0,1400,3538,1.0,0,0,3,7,1953,0,98118,62,10.0
253,2014,245000,3,2.5,1730,7442,2.0,0,0,3,7,1987,0,98030,27,22.0
254,2014,592500,2,2.0,1420,9191,1.5,0,2,5,7,1928,0,98115,86,10.0
255,2014,385000,4,1.75,2360,7620,1.0,0,0,4,7,1955,0,98106,59,10.0
256,2015,315000,3,1.75,1580,11455,1.0,0,0,4,7,1974,0,98059,41,19.0
257,2014,255000,3,1.0,1230,10170,1.0,0,0,3,7,1979,0,98045,35,16.0
258,2014,693000,4,2.5,2460,4425,2.0,0,0,3,8,2006,0,98052,8,5.0
259,2014,780000,3,1.0,1660,4400,1.5,0,0,3,8,1911,0,98112,103,10.0
260,2014,237000,3,1.75,1270,8470,1.0,0,0,4,7,1960,0,98198,54,10.0
261,2014,525000,3,2.25,2100,40510,2.0,0,0,3,10,1979,0,98074,35,4.0
262,2015,425000,2,1.0,770,5040,1.0,0,0,3,5,1930,0,98144,85,10.0
263,2014,369900,1,0.75,760,10079,1.0,1,4,5,5,1936,0,98070,78,13.0
264,2014,290000,4,2.5,1700,7280,2.0,0,0,4,7,1988,0,98031,26,22.0
265,2014,285000,3,1.0,1120,10701,1.0,0,0,3,7,1954,0,98106,60,10.0
266,2014,415000,2,1.0,1070,4500,1.0,0,0,3,7,1937,0,98115,77,10.0
267,2015,272500,3,2.5,2070,9900,1.0,0,0,3,8,1979,0,98023,36,24.0
268,2015,2900000,4,3.25,5050,20100,1.5,0,2,3,11,1982,2008,98004,33,3.0
269,2014,1370000,4,4.75,5310,57346,2.0,0,0,4,11,1989,0,98077,25,7.0
270,2015,436000,2,1.0,1040,7538,1.0,0,0,4,7,1939,0,98133,76,10.0
271,2014,210000,3,1.0,1700,11390,1.0,0,0,4,7,1967,0,98003,47,24.0
272,2014,236000,3,1.0,1300,5898,1.0,0,0,3,7,1961,0,98178,53,10.0
273,2014,331000,3,1.75,1080,1306,1.0,0,0,3,7,1954,2003,98199,60,10.0
274,2015,365000,3,2.5,2653,4510,2.0,0,0,3,8,2006,0,98031,9,22.0
275,2015,450000,3,2.0,2290,16258,1.0,0,0,5,8,1960,0,98058,55,19.0
276,2014,770000,4,2.75,3820,26300,2.0,0,0,3,9,2014,0,98028,0,14.0
277,2015,455000,4,2.5,2210,49375,1.0,0,0,3,8,1997,0,98038,18,20.0
278,2015,405000,3,1.75,2390,6000,1.0,0,0,3,6,1908,0,98118,107,10.0
279,2014,304900,4,1.75,2600,11325,1.0,0,0,4,7,1969,0,98031,45,22.0
280,2015,170000,2,1.0,860,5265,1.0,0,0,3,6,1931,0,98178,84,10.0
281,2015,2050000,5,3.0,3830,8480,2.0,0,1,5,9,1905,1994,98122,110,10.0
282,2014,780000,4,2.5,3500,7048,2.0,0,0,3,9,2005,0,98053,9,5.0
283,2015,330000,3,3.0,2420,13959,1.0,0,0,4,8,1988,0,98028,27,14.0
284,2014,370000,4,2.5,2720,8666,2.0,0,0,3,9,1992,0,98030,22,22.0
285,2014,467000,5,2.25,2500,13500,1.0,0,0,3,7,1979,0,98072,35,7.0
286,2015,405000,3,1.75,1670,6720,1.0,0,0,3,7,1980,0,98034,35,6.0
287,2014,675000,5,2.25,2900,10300,1.0,0,0,3,8,1985,0,98006,29,3.0
288,2014,500000,2,1.0,1640,14100,1.0,0,0,4,7,1954,0,98006,60,3.0
289,2014,389999,4,2.5,1890,15770,2.0,0,0,4,7,1968,0,98166,46,10.0
290,2015,630000,4,1.75,2950,9025,1.0,0,2,4,8,1975,0,98034,40,6.0
291,2014,360000,4,2.5,2160,9528,2.0,0,0,3,9,1992,0,98001,22,23.0
292,2014,580000,4,3.0,3280,11060,2.0,0,0,3,8,1986,0,98056,28,19.0
293,2014,550000,3,2.0,1970,4166,2.0,0,3,5,8,1929,0,98126,85,10.0
294,2014,879000,4,2.5,3360,22111,2.0,0,0,3,10,1994,0,98075,20,4.0
295,2014,265000,3,2.0,1320,8959,1.0,0,0,3,7,1993,0,98042,21,22.0
296,2015,446500,3,2.5,2650,7286,2.0,0,0,3,8,1990,0,98059,25,19.0
297,2014,404000,3,1.5,2030,8880,1.0,0,0,3,7,1963,0,98108,51,10.0
298,2014,267500,3,1.75,1590,11914,1.0,0,2,3,7,1957,0,98188,57,10.0
299,2014,3080000,4,5.0,4550,18641,1.0,1,4,3,10,2002,0,98074,12,4.0
