,Unnamed: 0,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,yr_built,yr_renovated,zipcode,house_age,city_rank,PC 1,PC 2,PC 3,Cluster
65,65,2014,317625,3,2.75,2770,3809,1.5,0,0,5,7,1925,0,98144,89,10.0,-223105.60006586654,-9008.48687889238,-10585.436542306741,2
66,66,2014,975000,4,2.5,2720,11049,2.0,0,0,3,10,1989,0,98004,25,3.0,434307.85647249134,-8451.69767389063,-10892.038245048449,4
67,67,2014,287000,4,2.5,2240,4648,2.0,0,0,3,7,2005,0,98001,9,23.0,-253721.36724733937,-7859.484834183096,-10565.865095316793,2
68,68,2014,204000,3,1.0,1000,12070,1.0,0,0,4,7,1968,0,98042,46,22.0,-336643.68329337414,402.75827475530974,-10493.375577104109,2
69,69,2014,1330000,5,2.25,3200,20158,1.0,0,0,3,8,1965,0,98004,49,3.0,789382.3562039303,-2950.945555595776,-11029.326686220224,3
70,70,2014,1040000,5,3.25,4770,50094,1.0,0,0,4,11,1973,0,98005,41,3.0,499704.8282413454,29934.94577617043,-10734.530240485352,4
71,71,2015,325000,3,2.0,1260,5612,1.0,0,0,4,7,1972,0,98034,43,6.0,-215715.3125997264,-7284.2457124614275,-10581.44099261065,2
72,72,2014,571000,4,2.0,2750,7807,1.5,0,0,5,7,1916,0,98125,98,10.0,30296.49576413761,-7586.54548410232,-10691.549232087036,0
73,73,2014,360000,4,2.5,2380,5000,2.0,0,0,3,8,2005,0,98038,9,20.0,-180721.4329691538,-8249.293679105207,-10595.476219079153,2
74,74,2015,349000,3,1.75,1790,50529,1.0,0,0,5,7,1965,0,98042,50,22.0,-191259.14092754884,37387.12354245671,-10383.403327566644,2
75,75,2014,832500,4,4.0,3430,35102,2.0,0,0,4,10,1986,0,98075,28,4.0,292061.167701708,17050.009334241746,-10696.270634150744,4
76,76,2014,380000,4,1.75,1760,7300,1.0,0,0,3,7,1956,0,98008,58,3.0,-160700.2088635375,-6154.272925893492,-10595.097477847828,2
77,77,2015,480000,3,1.0,1040,5060,1.0,0,0,3,7,1941,0,98116,74,10.0,-60729.56950759085,-9412.461095382112,-10659.279465488258,0
78,78,2014,410000,3,1.0,1410,5060,1.0,0,0,4,7,1956,0,98133,58,10.0,-130725.18858879103,-8699.974707140147,-10620.387646610048,2
79,79,2015,720000,4,2.5,3450,39683,2.0,0,0,3,10,2002,0,98010,13,18.0,179613.76183315966,22774.38785238973,-10612.937903422979,4
80,80,2014,390000,3,2.5,2350,5100,2.0,0,0,3,8,2003,0,98038,11,20.0,-150722.0651996172,-8454.374514594505,-10603.695815869953,2
81,81,2014,360000,4,2.5,1900,5889,2.0,0,0,3,7,1992,0,98038,22,20.0,-180713.2357913526,-7361.553587583908,-10585.509982289956,2
82,82,2014,355000,2,1.0,2020,6720,1.0,0,0,3,7,1948,0,98118,66,10.0,-185704.3132419533,-6479.509048340191,-10577.692336686809,2
83,83,2015,356000,3,1.5,1680,8712,1.0,0,0,3,8,1964,0,98059,51,19.0,-184684.71594042316,-4498.623109508457,-10569.544780276103,2
84,84,2014,315000,3,1.0,960,6634,1.0,0,0,3,6,1952,0,98125,62,10.0,-225704.91332961188,-6161.459204743804,-10559.925412925224,2
85,85,2014,940000,3,1.5,2140,3600,2.0,0,0,3,9,1925,0,98119,89,10.0,399233.0033051805,-15545.931911890386,-10891.562342767571,4
86,86,2014,305000,5,2.25,2660,8400,1.5,0,0,5,7,1961,0,98092,53,23.0,-235683.44836610855,-4289.796734922169,-10537.326200927848,2
87,87,2014,461000,3,3.25,2770,6278,2.0,0,0,3,9,2006,0,98056,8,19.0,-79713.13740977483,-7997.227889397271,-10626.283220321064,0
88,88,2014,215000,2,2.25,1610,2040,2.0,0,0,4,7,1979,0,98056,35,19.0,-325745.13177988766,-9737.023915721327,-10522.245167343497,2
89,89,2014,335000,2,1.75,1030,1066,2.0,0,0,3,7,2006,0,98136,8,10.0,-205762.44514915228,-11932.260627100144,-10590.320278204124,2
90,90,2014,243500,4,2.5,1980,7403,2.0,0,0,3,7,1988,0,98023,26,24.0,-297191.4932316582,-4663.199646057568,-10508.896567818187,2
91,91,2015,1100000,5,2.75,3520,6353,2.0,0,0,4,10,2001,0,98199,14,10.0,559254.8779888955,-14416.301819750293,-10949.789557340415,4
92,92,2015,153000,3,1.0,1200,10500,1.0,0,0,3,7,1962,0,98023,53,24.0,-387656.55954457674,-648.3137844969451,-10449.274356583634,2
93,93,2014,430000,3,1.5,1580,5000,1.0,0,0,3,8,1939,0,98117,75,10.0,-110726.55942709371,-8962.938592552118,-10615.322711376375,0
94,94,2014,905000,4,2.5,3300,10250,1.0,0,0,3,7,1946,1991,98040,68,2.0,364304.7734422127,-8537.85414057004,-10832.711624103786,4
95,95,2015,247500,3,1.75,1960,15681,1.0,0,0,3,7,1967,0,98032,48,22.0,-293107.6048310666,3573.524192407333,-10468.279253486056,2
96,96,2014,199000,4,1.5,1160,6400,1.0,0,0,4,7,1975,0,98023,39,24.0,-341700.75077952986,-5215.780805434511,-10487.984543070554,2
97,97,2014,314000,3,1.75,1810,41800,1.0,0,0,5,7,1980,0,98038,34,20.0,-226345.94767532864,29014.43441348036,-10382.032128888777,2
98,98,2014,437500,3,2.5,2320,36847,2.0,0,2,3,9,1992,0,98045,22,16.0,-102901.97652971784,22807.53226949041,-10465.423140550281,0
99,99,2014,850830,3,2.5,2070,13241,1.5,0,0,5,9,1910,0,98102,104,10.0,310165.62807925895,-4999.321679138837,-10787.64913124868,4
100,100,2014,555000,3,2.0,1980,3478,1.5,0,0,4,7,1929,0,98117,85,10.0,14252.012891796809,-11754.607348295773,-10678.332773769467,0
101,101,2014,699950,3,2.25,2190,107593,2.0,0,0,4,8,1983,0,98077,31,7.0,160252.8431576498,90880.61578324344,-10275.781081653675,4
102,102,2014,1090000,3,2.5,2920,8113,2.0,0,0,3,8,1950,2010,98004,64,3.0,549272.5321053538,-12556.312195623424,-10931.988922744873,4
103,103,2014,290000,3,1.0,1210,33919,1.0,0,0,3,7,1954,0,98058,60,19.0,-250425.81792373135,21376.435136077984,-10402.239380396035,2
104,104,2015,375000,3,2.5,2340,10005,1.0,0,0,4,8,1978,0,98058,37,19.0,-165671.4196904241,-3397.348607960043,-10549.60909767696,2
105,105,2014,460000,3,1.0,1670,4005,1.5,0,0,4,7,1939,0,98117,75,10.0,-80738.10803243166,-10262.679778637947,-10623.023514299146,0
106,106,2014,188500,2,1.75,1240,2493,1.0,0,0,4,8,1985,0,98198,29,10.0,-352239.7565860264,-9015.6666723261,-10490.035874556048,2
107,107,2015,680000,4,2.5,3140,28037,2.0,0,0,4,10,1991,0,98077,24,7.0,139496.99709375086,11534.880048688028,-10618.778717681726,0
108,108,2014,470000,5,1.75,2030,12342,2.0,0,0,4,7,1942,0,98052,72,5.0,-70653.27344589296,-2027.009034127814,-10585.557165838482,0
109,109,2014,597750,4,2.5,2310,9624,2.0,0,0,3,8,1984,0,98027,30,8.0,57062.78391372035,-6042.811395890468,-10661.873353991403,0
110,110,2015,570000,3,1.75,1260,3328,1.0,0,0,5,6,1905,0,98103,110,10.0,29248.430428310174,-12058.874144671343,-10679.941201695654,0
111,111,2014,272500,3,1.75,1540,12600,1.0,0,0,4,7,1980,0,98038,34,20.0,-268140.9808356821,237.4914565019106,-10481.093467085311,2
112,112,2014,329950,3,1.75,2080,5969,1.0,0,2,3,7,1971,0,98108,43,10.0,-210760.4913559015,-6975.79953665289,-10537.842537473829,2
113,113,2014,480000,4,2.5,3230,16171,2.0,0,3,3,9,2001,0,98001,13,23.0,-60612.78209250491,1702.9858414077953,-10562.955994547034,0
114,114,2014,740500,3,3.5,4380,6350,2.0,0,0,3,8,1900,1999,98117,114,10.0,199775.80788202988,-10762.83909929233,-10740.747994114437,4
115,115,2014,518500,3,3.5,1590,1102,3.0,0,0,3,8,2010,0,98103,4,10.0,-22270.866501182205,-13760.413695069774,-10656.804293421303,0
116,116,2014,205425,2,1.0,880,6780,1.0,0,0,4,6,1945,0,98178,69,10.0,-335272.7142499573,-4901.918091918556,-10470.848222907061,2
117,117,2015,171800,4,2.0,1570,9600,1.0,0,0,3,6,1950,0,98168,65,10.0,-368866.04951988184,-1738.6107663524579,-10436.559289405388,2
118,118,2015,535000,4,1.0,1610,2982,1.5,0,0,4,7,1925,0,98144,90,10.0,-5752.602986949453,-12048.246943570213,-10653.84232925286,0
119,119,2015,660000,3,2.5,2400,6474,1.0,0,2,3,8,1964,0,98177,51,10.0,119277.61125888674,-9825.270692045206,-10698.172110444499,0
120,120,2014,391500,3,2.0,1450,9132,1.0,0,0,3,7,1987,0,98034,27,6.0,-149182.72535731387,-4440.252962638706,-10549.966176526217,2
121,121,2015,395000,2,1.0,770,6000,1.0,0,0,3,6,1953,0,98117,62,10.0,-145715.93764210973,-7609.298636681743,-10568.089075065674,2
122,122,2014,445000,4,1.75,2100,4400,1.5,0,0,5,7,1924,0,98118,90,10.0,-95732.53182497408,-9714.256805223282,-10594.621870141877,0
123,123,2014,770000,3,2.25,2910,10204,2.0,0,0,3,9,1990,0,98052,24,5.0,229310.55546604053,-7212.49365418554,-10731.869042154543,4
124,124,2015,1450000,4,2.75,2750,17789,1.5,0,0,3,8,1914,1992,98004,101,3.0,909351.3942324072,-6541.0893616155345,-11053.071579292078,3
125,125,2014,445000,3,2.25,2100,8201,1.0,0,2,3,8,1967,0,98178,47,10.0,-95693.89851979446,-5913.5249347658055,-10574.177668632274,0
126,126,2014,260000,4,2.25,2160,8811,1.0,0,0,3,8,1978,0,98023,36,24.0,-280677.73004276154,-3422.7535203682546,-10474.256458660073,2
127,127,2014,822500,5,3.5,2320,4960,2.0,0,0,5,7,1926,0,98103,88,10.0,281753.4247689702,-12991.310538604586,-10781.694375063767,4
128,128,2015,430000,4,2.5,2070,4310,2.0,0,0,3,7,2004,0,98065,11,11.0,-110732.6957125643,-9651.852585317665,-10581.237858020133,0
129,129,2015,212000,3,1.75,1060,7875,1.0,0,0,4,7,1986,0,98092,29,23.0,-328686.6129004458,-3873.4345918881927,-10455.395964331294,2
130,130,2015,660500,4,2.25,2010,9603,1.0,0,0,3,8,1986,0,98027,29,8.0,119808.70904073134,-6702.52813138708,-10674.771747866433,0
131,131,2014,784000,3,3.5,3950,111078,1.5,0,0,3,9,1989,0,98052,25,5.0,244336.88416188784,93515.10294412209,-10265.804481111312,4
132,132,2014,453246,3,2.5,2010,2287,2.0,0,0,3,8,2014,0,98029,0,8.0,-87508.59892748545,-11911.188772215552,-10598.761262587577,0
133,133,2015,675000,4,3.5,2140,2278,3.0,0,0,3,9,2005,0,98107,10,10.0,134233.71636748317,-14174.162850271468,-10712.15388564234,0
134,134,2014,199000,3,1.75,1320,17390,1.0,0,0,4,7,1956,0,98003,58,24.0,-341588.7540906644,5773.719243123659,-10399.1238510975,2
135,135,2014,220000,4,1.75,2020,7840,1.0,0,0,3,7,1968,0,98003,46,24.0,-320685.70797172457,-3987.442843017597,-10449.590610176088,2
136,136,2014,452000,4,2.25,2590,10002,1.0,0,0,4,8,1968,0,98028,46,14.0,-88675.10128251112,-4182.639072236799,-10556.456362767522,0
137,137,2014,382500,2,1.0,1190,4440,1.0,0,0,3,6,1981,0,98125,33,10.0,-158230.38231187244,-9041.180291485965,-10550.874554470398,2
138,138,2014,519950,3,2.25,1170,1249,3.0,0,0,3,8,2014,0,98107,0,10.0,-20820.175723369124,-13629.28815611453,-10635.688445845797,0
139,139,2014,665000,2,1.0,1110,3200,1.0,0,0,3,7,1925,0,98119,89,10.0,124241.81574594943,-13153.10001318531,-10701.354871928987,0
140,140,2014,527700,5,2.5,2820,9375,1.0,0,0,4,8,1968,0,98006,46,3.0,-12985.103705048727,-5578.5944586456,-10593.548739629492,0
141,141,2015,205000,3,1.0,1610,8579,1.0,0,0,4,7,1962,0,98058,53,19.0,-335678.11421333445,-3097.0378725591913,-10434.225824974284,2
142,142,2015,420000,3,1.0,1060,8097,1.0,0,0,4,7,1923,0,98133,92,10.0,-120695.43913177103,-5765.973695310365,-10549.26904832427,2
143,143,2015,500000,4,2.25,2030,8517,1.0,0,0,4,8,1961,0,98006,54,3.0,-40693.73180887642,-6156.880978569604,-10583.538476444182,0
144,144,2014,921500,4,2.5,3670,315374,2.0,0,0,4,9,1994,0,98077,20,7.0,383905.460508829,296399.2771671989,-9391.933115269856,4
145,145,2014,890000,4,1.0,2550,4000,2.0,0,0,3,8,1905,0,98109,109,10.0,349240.4809990692,-14636.955920156692,-10802.100616180292,4
146,146,2014,430000,2,2.5,2420,60984,2.0,0,0,3,7,2007,0,98027,7,8.0,-110156.05891529386,47019.228752385665,-10302.810243983598,0
147,147,2014,258000,5,2.0,2260,12500,1.0,0,0,4,8,1960,0,98032,54,22.0,-282639.9448138648,286.48109822157824,-10434.971150984462,2
148,148,2014,511000,3,1.0,1430,3455,1.0,0,0,3,7,1947,0,98103,67,10.0,-29746.81750013393,-11331.868327924,-10609.979738150718,0
149,149,2014,532170,3,2.0,1360,3090,2.0,0,0,3,8,1990,0,98103,24,10.0,-8581.777683039789,-11912.222719654175,-10621.835541203654,0
150,150,2015,560000,3,1.0,1110,5000,1.5,0,0,3,7,1947,0,98107,68,10.0,19265.71291168219,-10285.87166696889,-10627.689819787416,0
151,151,2015,282950,3,1.0,1250,8200,1.0,0,0,4,7,1954,0,98003,61,24.0,-257736.7479790738,-4269.3358765912235,-10467.909419276179,2
152,152,2015,2250000,4,3.25,5180,19850,2.0,0,3,3,12,2006,0,98006,9,3.0,1709333.6951363955,-12606.892669725561,-11415.773942245538,1
153,153,2014,350000,1,1.0,700,5100,1.0,0,0,3,7,1942,0,98115,72,10.0,-190722.79409755275,-8052.102926785747,-10517.208525965789,2
154,154,2014,215000,3,1.0,1180,7669,1.0,0,0,4,7,1967,0,98058,47,19.0,-325688.64431748266,-4109.737408612573,-10432.408471930095,2
155,155,2014,650000,5,3.5,3960,25245,2.0,0,0,3,9,1996,0,98056,18,19.0,109471.68007191569,9049.804408091555,-10564.443746342164,0
156,156,2014,320000,4,2.75,2640,7500,1.0,0,0,3,8,1967,0,98023,47,24.0,-220693.39725372606,-5342.580586415145,-10479.28326446459,2
157,157,2014,247000,3,2.0,1270,7198,1.5,0,0,3,7,1916,2013,98022,98,21.0,-293694.69851049763,-4905.874683124755,-10451.596166888616,2
158,158,2014,320000,4,1.75,1760,11180,1.0,0,0,4,8,1968,0,98059,46,19.0,-220657.53784162673,-1664.9701113541846,-10464.266320017727,2
159,159,2014,255000,5,2.25,2060,8632,1.0,0,0,3,7,1962,0,98146,52,10.0,-285679.4438427621,-3551.328710601815,-10439.950774144532,2
160,160,2015,438000,3,1.75,1780,9660,1.0,0,0,3,7,1962,0,98034,53,6.0,-102679.24056237779,-4384.374335084721,-10530.272011329329,0
161,161,2015,900000,3,2.5,3400,16603,2.0,0,0,3,10,2000,0,98075,15,4.0,359369.53970623715,-2134.432764429171,-10729.859425103079,4
162,162,2014,441000,3,2.75,1910,7280,1.0,0,0,3,7,1979,0,98034,35,6.0,-99703.36085686425,-6794.408852037215,-10540.105232866656,0
163,163,2014,420000,3,2.0,2020,38332,1.0,0,0,4,7,1975,0,98027,39,8.0,-120386.44661327534,24469.31020172108,-10385.89946729403,0
164,164,2014,370000,3,1.75,1580,7000,1.0,0,0,3,7,1976,0,98034,38,6.0,-170702.99978867898,-6353.439819914509,-10504.028078183732,2
165,165,2015,269950,2,1.75,1340,7250,1.0,0,0,5,5,1949,0,98198,66,10.0,-270745.54751736164,-5086.998577543228,-10451.142916922865,2
166,166,2015,807100,4,2.5,2680,4499,2.0,0,0,3,9,1999,0,98006,16,3.0,266350.21119613247,-13295.014529963331,-10735.128668837055,4
167,167,2014,653000,3,2.5,2680,9750,1.0,0,0,4,8,1979,0,98034,35,6.0,112311.79513950055,-6477.8412182178345,-10630.33830052496,0
168,168,2014,371500,3,2.0,1370,8336,1.0,0,0,5,7,1964,0,98133,50,10.0,-169189.86848111404,-5033.31986490936,-10495.633859444772,2
169,169,2015,284000,3,1.75,1560,21000,1.0,0,0,3,7,1954,0,98166,61,10.0,-256556.15839099413,8519.799382011088,-10390.647081653773,2
170,170,2015,272000,3,1.75,2160,7140,1.0,0,0,4,7,1978,0,98023,37,24.0,-268695.33274759556,-5215.834140599767,-10444.109494076472,2
171,171,2014,313000,3,1.5,1340,7912,1.5,0,0,3,7,1955,0,98133,59,10.0,-227691.1107111469,-4862.689213887927,-10464.408392383171,2
172,172,2015,917500,4,2.5,3880,35003,2.0,0,0,3,10,1984,0,98033,31,6.0,377056.46501663525,16087.589712268873,-10641.826312294304,4
173,173,2014,673000,4,2.25,2590,8190,2.0,0,0,4,8,1980,0,98006,34,3.0,132294.71889311532,-8241.293769399152,-10642.212546875498,0
174,174,2015,425000,3,2.5,1120,1100,2.0,0,0,3,8,2008,0,98122,7,10.0,-115766.69976224404,-12813.33974530123,-10551.404614293539,0
175,175,2014,399950,5,2.75,1970,5400,1.0,0,0,3,7,1986,0,98144,28,10.0,-140770.16978224283,-8256.918013106611,-10514.15772725946,2
176,176,2014,385000,3,1.0,1220,4800,1.0,0,0,3,6,1901,0,98122,113,10.0,-155726.78659329884,-8706.72878808736,-10511.548741940605,2
177,177,2014,269950,3,1.5,1950,7560,1.0,0,2,4,7,1975,0,98022,39,21.0,-270741.3198112021,-4775.56351351164,-10435.039291573205,2
178,178,2015,330000,2,1.0,1350,8220,1.0,0,0,3,7,1949,0,98177,66,10.0,-210688.8661284511,-4727.540614364079,-10464.780026107825,2
179,179,2014,260000,3,2.5,1670,5797,2.0,0,0,3,7,1988,0,98030,26,22.0,-280709.1980460432,-6437.98934785456,-10437.121422165572,2
